manufacturer,cpuName,type
Intel,Core i3 10300,Desktop
Intel,Core i7 1195G7,Laptop
Intel,Core i7 8750H,Laptop
Intel,Core i5 11320H,Laptop
Intel,Core i7 10710U,Laptop
Intel,Core i5 8400,Desktop
Intel,Core i7 7700K,Desktop
AMD,Ryzen 5 4500U,Laptop
AMD,Ryzen 3 4300GE,Desktop
Intel,Core i7 1185G7,Laptop
Intel,Core i7 11370H,Laptop
Intel,Core i3 10105F,Desktop
AMD,Ryzen 3 3100,Desktop
